Title ,  Content
Eight dead in Japan earthquake as search for survivors continues,Thousands of people have spent the night in evacuation centres after a 7.6-magnitude earthquake hit the Sea of Japan coast.
Watch: How earthquake shook Japan on New Year's Day,"Dozens of buildings collapse in several towns, trapping an unknown number of people."
Australian jailed in Iraq reaches grim milestone,"Robert Pether has been detained for 1,000 days, in what his family call a ""hostage"" situation."
Nobel laureate Muhammad Yunus sentenced to jail,Supporters of the Bangladeshi economist say the case against him is politically motivated.
Israel Supreme Court strikes down judicial reforms,The controversial plans triggered nationwide protests last year against Benjamin Netanyahu's government.
Australia's David Warner retires from ODI cricket,"The veteran player, aged 37, made the announcement in the lead-up to his final Test match."
Putin vows to 'intensify' attacks against Ukraine,The Russian leader's comments come after days of aerial bombardment by both sides in the conflict.
Ethiopia signs agreement paving way to sea access,The prime minister of the landlocked country has said that sea access was an existential question.
India launches space mission to study black holes,India has become only the second country to launch such a mission after the US.
Xi vows 'reunification' ahead of Taiwan polls,The Chinese leader's New Year's Eve message comes just weeks ahead of Taiwan's crucial general election.
Why Bangladesh's election has become a one-woman show,Bangladesh is holding general elections in January - Sheikh Hasina's hold on power looks unshakeable.
"I'm so blessed a year after accident, says Renner",The Marvel star reflects on his recovery after being run over by his own snow plough last New Year's Day.
Israel says war expected to continue throughout 2024,"In a new year message, Israel's military says it expects fighting in Gaza for the rest of the year."
Mother in UK court after children's deaths in US,Kimberlee Singler faces extradition to the US after being charged with murder and attempted murder.
BBC World News TV,"The latest global news, sport, weather and documentaries"
BBC World Service Radio,Stories from around the world
Alarm in Kanazawa as city rocked by earthquake,"Japan has been hit by a series of earthquakes, prompting evacuation orders and tsunami warnings."
"School inspection system needs more empathy, says new boss",Sir Martyn Oliver says Ofsted must listen to criticism after the suicide of head teacher Ruth Perry.
Teen killed in New Year's Eve stabbing named,"Harry Pitman, 16, was attacked on London's Primrose Hill where crowds had gathered to watch fireworks."
NHS chief warns of tough new year as fresh strike looms,"A planned six-day junior doctors' strike will have a big impact on routine care, a health chief says."
Colossal sea monster skull goes on public display,Members of the public get a chance to see the 2m-long pliosaur fossil at a museum in Dorset.
Mother arrested over children’s deaths in US appears in UK court,Kimberlee Singler faces extradition to the US after being charged with murder and attempted murder.
UK says it will repel Houthi Red Sea attacks,"The defence secretary says British forces are ""willing to take direct action"" to protect the key shipping lane."
Teenager killed in three-car collision,An 18-year-old passenger was killed and three other people injured in the crash on New Year's Day.
Microsoft boss changes tune after criticism of UK,Brad Smith had said the UK was bad for business after a takeover of Activision was initially blocked.
Argentina pulls out of plans to join Brics bloc,"It had been due in a few days to join the group, seen as a counterweight to the Western-led world."
L'Oréal heiress first woman to amass $100bn fortune,The French beauty empire is on track for its best stock market performance in decades.
Google settles lawsuit for 'private mode' tracking,Large technology firms have faced increased scrutiny of their practices in the US and beyond.
Boeing urges 737 Max checks for possible loose bolt,The airplane maker is urging airlines to inspect rudder control systems on the planes.
Cash withdrawals hit record high at Post Office,More than £62m was withdrawn on the Friday before Christmas according to the Post Office.
The year the Australian Dream died,"The land of a ""fair go"" has become one of the least affordable places on Earth to find a home."
Clueless on computers: The teens aiming to reboot,Many young Nigerians fail their university entrance exams as they lack very basic tech skills.
Congo president declared winner of chaotic election,"Officials say Félix Tshisekedi wins a landslide 73% of the vote, while the opposition calls for a rerun."
Félix Tshisekedi: DR Congo's re-elected president,"Felix Tshisekedi came to power in 2019 vowing to made DR Congo ""the Germany of Africa""."
Ugandan athlete stabbed to death in Kenya - reports,"Benjamin Kiplagat, 34, reached the semi-finals of the 2012 London Olympics in the 3,000m steeplechase."
Kenya's Chebet breaks women's world 5km record,Kenya's Beatrice Chebet breaks the women's world 5km record at the Cursa dels Nassos road race in Barcelona.
Double-edged sword of overturning Sahara smuggling ban,Will Niger's ending of a seven-year ban on migrant-trafficking lead to more deaths?
Queen of Denmark announces abdication live on TV,"Margrethe II, who has reigned for half a century, will step down to be replaced by her son."
"Who is Frederik, the next king of Denmark?","""I don't want to lock myself in a fortress. I want to be myself,"" Crown Prince Frederik once said."
In pictures: Danish queen's 52-year reign,"83-year-old Margrethe II is Europe's longest-serving living monarch, having taken the throne in 1972."
How has Vladimir Putin changed life in Russia?,Steve Rosenberg talks What in the World through his rise to power and how the country has changed under his rule.
Zelensky vows more Ukraine-made weapons in new year address,The Ukrainian president's message comes as five people were killed in attacks early on New Year's Day.
Russia hits back after Ukraine attack on border city,The latest attacks on Kyiv and Kharkiv come after two days of major aerial assaults by both sides.
UN: Many displaced Gazans 'living in the open',"The southern city of Rafah saw an influx of 100,000 people seeking shelter in recent days, officials say."
Young Gazans hope for peace in new year,Young Palestinians tell the BBC they want a return to peace and normality in 2024.
"Spanish fan held in Tehran released, Iran says",Santiago Sánchez was detained during a trek in 2022 to the men's football World Cup in Qatar.
US destroys Houthi boats after Red Sea hijack attempt,The US military says it responded after a vessel came under attack near Yemen twice in 24 hours.
US police say missing Chinese student may be 'camping',"Police in Utah initially feared that missing Chinese student Kai Zhuang, 17, had been kidnapped."
Nigel Lythgoe denies abusing Paula Abdul - US media,"The American singer alleges multiple instances of assault while the pair worked together, which Mr Lythgoe denies."
Maine becomes second state to ban Trump from ballot,The decision increases pressure on the Supreme Court to rule on his eligibility to run for the presidency.
Top Maine election official defends Trump decision,"Secretary of State Shenna Bellows says it was her ""sacred obligation"" to follow evidence in the case."
Surfers take on giant waves as storm hits California,Waves as tall as 70ft have been surfed at the notorious break known as Mavericks.
The worshippers caught between China and Taiwan,"Many Taiwanese follow religions with deep ties to China, which delights Beijing but worries Taipei."
China appoints Dong Jun as new defence minister,"Dong Jun replaces Li Shangfu, who was last seen in public in August."
China denies pressuring Taiwan rock stars,Reports allege Beijing asked Mayday to make pro-China comments and threatened the band when they refused.
Hong Kong democracy activist flees to UK to seek asylum,"Tony Chung told the BBC he felt he had no control over his life, with police scrutinising his every move."
China is ramping up the pressure for Taiwan's election,Beijing is using aggression and propaganda to sway what could be a pivotal race for cross-strait ties.
Three HK activists jailed for 'terrorism' bomb plot,They were part of a pro-independence group which planned to place bombs in various public buildings.
How a Pakistani cricket show charmed Indians,A show featuring top Pakistani cricketers won thousands of fans across the border in India in 2023.
Indian wrestler returns medals to highlight harassment claims,Vinesh Phogat and other top wrestlers have accused a powerful politician of sexual exploitation.
'Like a wow!' and other Indian 2023 social media hits,From making history at the Oscars to landing on the Moon - viral moments that had Indians talking.
Watch: Plane gets jammed under bridge in India,The scrap fuselage was on its way to Assam from Mumbai on a lorry when it got stuck.
The year India reached the Moon - and aimed for the Sun,"With Chandrayaan-3, Aditya-L1 and Gaganyaan, India's space agency Isro has had a spectacular year."
Qatar commutes India ex-navy officers' death penalty,"Reports have said that the eight Indians, who were arrested last year, were charged with spying for Israel."
Brit in Japan describes house shaking in quake,Joseph Tame says he could feel the tremors despite living hundreds of miles away in Tokyo.
Murder arrest as two women found dead,"The women, aged 91 and 63, were discovered at a house in Staffordshire on New Year's Eve."
King and Queen attend church service,Charles and Camilla wave at onlookers as they visit St Mary Magdalene Church in Sandringham.
New Year's Eve taxis become trapped in floodwater,People are rescued after two cars become submerged at a notorious flooding hotspot.
Homes evacuated in Newry security alert,Police and Army technical experts are at the scene in the Drumgullion Avenue area of the city.
NI's road death figures for 2023 'simply horrific',Northern Ireland records its highest annual number of motoring fatalities for eight years.
'Topping the charts has turned my life upside down',Genre-bending pianist Jamie Duffy has nearly one million monthly Spotify listeners globally.
Fire at former Dublin pub was arson,The Ringsend building was due to be used as emergency accommodation for homeless families.
Ulster hang on for famous away win against Leinster,Ulster beat Leinster 21-22 in a pulsating United Rugby Championship contest at the RDS.
The café bringing Parkinson's patients together,"For people like Denis Brown, the sessions allow people to get together and have a laugh about it."
Teen darts player in World semis after Dolan defeat,"Luke Littler, 16, makes the PDC World Darts Championship semis with a win over Fermanagh player."
We're a scapegoat for PPE failures - Mone's husband,"Doug Barrowman says his family has been ""treated as a punchbag"" for ""lamentable failures"" by ministers."
Man dies in shooting outside pub before bells,Another man is in hospital after what police described as a targeted attack at the Edinburgh bar.
Ex-adviser: SNP faces biggest challenge in 20 years,"Nicola Sturgeon's ex-chief of staff says the party ""needs to get its act together"" before a general election."
Loony Dookers brave icy Forth for New Year plunge,Swimmers have continued the traditional dip in the Firth of Forth to kick off 2024.
Footballer's family call for pancreatic cancer awareness,Former Celtic and St Mirren player Frank McGarvey died three months after being diagnosed with the disease.
Scotland sees in 2024 with fireworks and song,Tens of thousands watch fireworks explode over Edinburgh's skyline as a New Year begins.
Murray loses to Dimitrov in Brisbane first round,Andy Murray makes a first-round exit at the Brisbane International as Grigor Dimitrov comes from behind to win in three sets.
Social services face cuts over £646m budget gap,"Councils warn that without extra funding, cuts will have to be made to support for communities."
Major esports event could be hosted in Wales,Fans and organisers say Wales could host a major competitive gaming event.
Heavy rain and wind warnings for most of Wales,Met Office weather warnings for wind and rain have been issued across the country.
Murder probe after man found outside hospital,An investigation is launched after a 30-year-old is found seriously injured outside a hospital.
Taylor Swift leads Wales' 2024 summer of live music,Some of the world's biggest artists are making Wales a must-visit gig destination this summer.
Men sought after firework thrown in boy's face,Images of two people officers want to speak to are released following the Bonfire Night incident.
Comedy duo's lifelong serial killer fascination,Kiri Pritchard-McLean and Rachel Fairburn share an interested in all things strange and macabre.
Re-examining the baffling death of an MI6 genius,"Dig deeper into the story of Gareth Williams, whose body was found inside a bag in his bath in 2010"
