Title ,Content
Eight dead in Japan earthquake as search for survivors continues,"['Thousands', 'people', 'spent', 'night', 'evacuation', 'centre', '76magnitude', 'earthquake', 'hit', 'Sea', 'Japan', 'coast']"
Watch: How earthquake shook Japan on New Year's Day,"['Dozens', 'building', 'collapse', 'several', 'town', 'trapping', 'unknown', 'number', 'people']"
Australian jailed in Iraq reaches grim milestone,"['Robert', 'Pether', 'detained', '1000', 'day', 'family', 'call', 'hostage', 'situation']"
Nobel laureate Muhammad Yunus sentenced to jail,"['Supporters', 'Bangladeshi', 'economist', 'say', 'case', 'politically', 'motivated']"
Israel Supreme Court strikes down judicial reforms,"['controversial', 'plan', 'triggered', 'nationwide', 'protest', 'last', 'year', 'Benjamin', 'Netanyahus', 'government']"
Australia's David Warner retires from ODI cricket,"['veteran', 'player', 'aged', '37', 'made', 'announcement', 'leadup', 'final', 'Test', 'match']"
Putin vows to 'intensify' attacks against Ukraine,"['Russian', 'leader', 'comment', 'come', 'day', 'aerial', 'bombardment', 'side', 'conflict']"
Ethiopia signs agreement paving way to sea access,"['prime', 'minister', 'landlocked', 'country', 'said', 'sea', 'access', 'existential', 'question']"
India launches space mission to study black holes,"['India', 'become', 'second', 'country', 'launch', 'mission', 'US']"
Xi vows 'reunification' ahead of Taiwan polls,"['Chinese', 'leader', 'New', 'Years', 'Eve', 'message', 'come', 'week', 'ahead', 'Taiwans', 'crucial', 'general', 'election']"
Why Bangladesh's election has become a one-woman show,"['Bangladesh', 'holding', 'general', 'election', 'January', 'Sheikh', 'Hasinas', 'hold', 'power', 'look', 'unshakeable']"
"I'm so blessed a year after accident, says Renner","['Marvel', 'star', 'reflects', 'recovery', 'run', 'snow', 'plough', 'last', 'New', 'Years', 'Day']"
Israel says war expected to continue throughout 2024,"['new', 'year', 'message', 'Israels', 'military', 'say', 'expects', 'fighting', 'Gaza', 'rest', 'year']"
Mother in UK court after children's deaths in US,"['Kimberlee', 'Singler', 'face', 'extradition', 'US', 'charged', 'murder', 'attempted', 'murder']"
BBC World News TV,"['latest', 'global', 'news', 'sport', 'weather', 'documentary']"
BBC World Service Radio,"['Stories', 'around', 'world']"
Alarm in Kanazawa as city rocked by earthquake,"['Japan', 'hit', 'series', 'earthquake', 'prompting', 'evacuation', 'order', 'tsunami', 'warning']"
"School inspection system needs more empathy, says new boss","['Sir', 'Martyn', 'Oliver', 'say', 'Ofsted', 'must', 'listen', 'criticism', 'suicide', 'head', 'teacher', 'Ruth', 'Perry']"
Teen killed in New Year's Eve stabbing named,"['Harry', 'Pitman', '16', 'attacked', 'Londons', 'Primrose', 'Hill', 'crowd', 'gathered', 'watch', 'firework']"
NHS chief warns of tough new year as fresh strike looms,"['planned', 'sixday', 'junior', 'doctor', 'strike', 'big', 'impact', 'routine', 'care', 'health', 'chief', 'say']"
Colossal sea monster skull goes on public display,"['Members', 'public', 'get', 'chance', 'see', '2mlong', 'pliosaur', 'fossil', 'museum', 'Dorset']"
Mother arrested over children’s deaths in US appears in UK court,"['Kimberlee', 'Singler', 'face', 'extradition', 'US', 'charged', 'murder', 'attempted', 'murder']"
UK says it will repel Houthi Red Sea attacks,"['defence', 'secretary', 'say', 'British', 'force', 'willing', 'take', 'direct', 'action', 'protect', 'key', 'shipping', 'lane']"
Teenager killed in three-car collision,"['18yearold', 'passenger', 'killed', 'three', 'people', 'injured', 'crash', 'New', 'Years', 'Day']"
Microsoft boss changes tune after criticism of UK,"['Brad', 'Smith', 'said', 'UK', 'bad', 'business', 'takeover', 'Activision', 'initially', 'blocked']"
Argentina pulls out of plans to join Brics bloc,"['due', 'day', 'join', 'group', 'seen', 'counterweight', 'Westernled', 'world']"
L'Oréal heiress first woman to amass $100bn fortune,"['French', 'beauty', 'empire', 'track', 'best', 'stock', 'market', 'performance', 'decade']"
Google settles lawsuit for 'private mode' tracking,"['Large', 'technology', 'firm', 'faced', 'increased', 'scrutiny', 'practice', 'US', 'beyond']"
Boeing urges 737 Max checks for possible loose bolt,"['airplane', 'maker', 'urging', 'airline', 'inspect', 'rudder', 'control', 'system', 'plane']"
Cash withdrawals hit record high at Post Office,"['62m', 'withdrawn', 'Friday', 'Christmas', 'according', 'Post', 'Office']"
The year the Australian Dream died,"['land', 'fair', 'go', 'become', 'one', 'least', 'affordable', 'place', 'Earth', 'find', 'home']"
Clueless on computers: The teens aiming to reboot,"['Many', 'young', 'Nigerians', 'fail', 'university', 'entrance', 'exam', 'lack', 'basic', 'tech', 'skill']"
Congo president declared winner of chaotic election,"['Officials', 'say', 'Félix', 'Tshisekedi', 'win', 'landslide', '73', 'vote', 'opposition', 'call', 'rerun']"
Félix Tshisekedi: DR Congo's re-elected president,"['Felix', 'Tshisekedi', 'came', 'power', '2019', 'vowing', 'made', 'DR', 'Congo', 'Germany', 'Africa']"
Ugandan athlete stabbed to death in Kenya - reports,"['Benjamin', 'Kiplagat', '34', 'reached', 'semifinal', '2012', 'London', 'Olympics', '3000m', 'steeplechase']"
Kenya's Chebet breaks women's world 5km record,"['Kenyas', 'Beatrice', 'Chebet', 'break', 'woman', 'world', '5km', 'record', 'Cursa', 'dels', 'Nassos', 'road', 'race', 'Barcelona']"
Double-edged sword of overturning Sahara smuggling ban,"['Nigers', 'ending', 'sevenyear', 'ban', 'migranttrafficking', 'lead', 'death']"
Queen of Denmark announces abdication live on TV,"['Margrethe', 'II', 'reigned', 'half', 'century', 'step', 'replaced', 'son']"
"Who is Frederik, the next king of Denmark?","['dont', 'want', 'lock', 'fortress', 'want', 'Crown', 'Prince', 'Frederik', 'said']"
In pictures: Danish queen's 52-year reign,"['83yearold', 'Margrethe', 'II', 'Europes', 'longestserving', 'living', 'monarch', 'taken', 'throne', '1972']"
How has Vladimir Putin changed life in Russia?,"['Steve', 'Rosenberg', 'talk', 'World', 'rise', 'power', 'country', 'changed', 'rule']"
Zelensky vows more Ukraine-made weapons in new year address,"['Ukrainian', 'president', 'message', 'come', 'five', 'people', 'killed', 'attack', 'early', 'New', 'Years', 'Day']"
Russia hits back after Ukraine attack on border city,"['latest', 'attack', 'Kyiv', 'Kharkiv', 'come', 'two', 'day', 'major', 'aerial', 'assault', 'side']"
UN: Many displaced Gazans 'living in the open',"['southern', 'city', 'Rafah', 'saw', 'influx', '100000', 'people', 'seeking', 'shelter', 'recent', 'day', 'official', 'say']"
Young Gazans hope for peace in new year,"['Young', 'Palestinians', 'tell', 'BBC', 'want', 'return', 'peace', 'normality', '2024']"
"Spanish fan held in Tehran released, Iran says","['Santiago', 'Sánchez', 'detained', 'trek', '2022', 'men', 'football', 'World', 'Cup', 'Qatar']"
US destroys Houthi boats after Red Sea hijack attempt,"['US', 'military', 'say', 'responded', 'vessel', 'came', 'attack', 'near', 'Yemen', 'twice', '24', 'hour']"
US police say missing Chinese student may be 'camping',"['Police', 'Utah', 'initially', 'feared', 'missing', 'Chinese', 'student', 'Kai', 'Zhuang', '17', 'kidnapped']"
Nigel Lythgoe denies abusing Paula Abdul - US media,"['American', 'singer', 'alleges', 'multiple', 'instance', 'assault', 'pair', 'worked', 'together', 'Mr', 'Lythgoe', 'denies']"
Maine becomes second state to ban Trump from ballot,"['decision', 'increase', 'pressure', 'Supreme', 'Court', 'rule', 'eligibility', 'run', 'presidency']"
Top Maine election official defends Trump decision,"['Secretary', 'State', 'Shenna', 'Bellows', 'say', 'sacred', 'obligation', 'follow', 'evidence', 'case']"
Surfers take on giant waves as storm hits California,"['Waves', 'tall', '70ft', 'surfed', 'notorious', 'break', 'known', 'Mavericks']"
The worshippers caught between China and Taiwan,"['Many', 'Taiwanese', 'follow', 'religion', 'deep', 'tie', 'China', 'delight', 'Beijing', 'worry', 'Taipei']"
China appoints Dong Jun as new defence minister,"['Dong', 'Jun', 'replaces', 'Li', 'Shangfu', 'last', 'seen', 'public', 'August']"
China denies pressuring Taiwan rock stars,"['Reports', 'allege', 'Beijing', 'asked', 'Mayday', 'make', 'proChina', 'comment', 'threatened', 'band', 'refused']"
Hong Kong democracy activist flees to UK to seek asylum,"['Tony', 'Chung', 'told', 'BBC', 'felt', 'control', 'life', 'police', 'scrutinising', 'every', 'move']"
China is ramping up the pressure for Taiwan's election,"['Beijing', 'using', 'aggression', 'propaganda', 'sway', 'could', 'pivotal', 'race', 'crossstrait', 'tie']"
Three HK activists jailed for 'terrorism' bomb plot,"['part', 'proindependence', 'group', 'planned', 'place', 'bomb', 'various', 'public', 'building']"
How a Pakistani cricket show charmed Indians,"['show', 'featuring', 'top', 'Pakistani', 'cricketer', 'thousand', 'fan', 'across', 'border', 'India', '2023']"
Indian wrestler returns medals to highlight harassment claims,"['Vinesh', 'Phogat', 'top', 'wrestler', 'accused', 'powerful', 'politician', 'sexual', 'exploitation']"
'Like a wow!' and other Indian 2023 social media hits,"['making', 'history', 'Oscars', 'landing', 'Moon', 'viral', 'moment', 'Indians', 'talking']"
Watch: Plane gets jammed under bridge in India,"['scrap', 'fuselage', 'way', 'Assam', 'Mumbai', 'lorry', 'got', 'stuck']"
The year India reached the Moon - and aimed for the Sun,"['Chandrayaan3', 'AdityaL1', 'Gaganyaan', 'Indias', 'space', 'agency', 'Isro', 'spectacular', 'year']"
Qatar commutes India ex-navy officers' death penalty,"['Reports', 'said', 'eight', 'Indians', 'arrested', 'last', 'year', 'charged', 'spying', 'Israel']"
Brit in Japan describes house shaking in quake,"['Joseph', 'Tame', 'say', 'could', 'feel', 'tremor', 'despite', 'living', 'hundred', 'mile', 'away', 'Tokyo']"
Murder arrest as two women found dead,"['woman', 'aged', '91', '63', 'discovered', 'house', 'Staffordshire', 'New', 'Years', 'Eve']"
King and Queen attend church service,"['Charles', 'Camilla', 'wave', 'onlooker', 'visit', 'St', 'Mary', 'Magdalene', 'Church', 'Sandringham']"
New Year's Eve taxis become trapped in floodwater,"['People', 'rescued', 'two', 'car', 'become', 'submerged', 'notorious', 'flooding', 'hotspot']"
Homes evacuated in Newry security alert,"['Police', 'Army', 'technical', 'expert', 'scene', 'Drumgullion', 'Avenue', 'area', 'city']"
